,Player,Pos.,Team ▾,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
,J.J. Russell,LB,Cardinals,"$1,100,000","$1,100,000",$0,$0,0.0%
,Channing Tindall,LB,Cardinals,"$1,100,000","$1,100,000",$0,$0,0.0%
,Darren Hall,CB,Cardinals,"$1,100,000","$1,100,000",$0,$0,0.0%
,Eku Leota,EDGE,Cardinals,"$1,145,000","$1,145,000",$0,$0,0.0%
,Josiah Deguara,TE,Cardinals,"$1,170,000","$1,170,000",$0,$0,0.0%
,Michael Carter,RB,Cardinals,"$1,170,000","$1,170,000",$0,$0,0.0%
,Simi Fehoko,WR,Cardinals,"$1,170,000","$1,170,000",$0,$0,0.0%
,Ihmir Smith-Marsette,WR,Cardinals,"$1,215,000","$1,215,000",$0,$0,0.0%
,Pharaoh Brown,TE,Cardinals,"$1,255,000","$1,255,000",$0,$0,0.0%
,Aaron Brewer,LS,Cardinals,"$1,255,000","$1,255,000",$0,$0,0.0%
,Matt Haack,P,Cardinals,"$1,255,000","$1,255,000",$0,$0,0.0%
,Tejhaun Palmer,WR,Cardinals,"$1,845,000","$922,500",$0,$0,0.0%
,Kedon Slovis,QB,Cardinals,"$1,845,000","$922,500",$0,$0,0.0%
,Kalen King,CB,Cardinals,"$1,845,000","$922,500",$0,$0,0.0%
,Corey Kiner,RB,Cardinals,"$1,845,000","$922,500",$0,$0,0.0%
,Rivaldo Fairweather,TE,Cardinals,"$1,845,000","$922,500",$0,$0,0.0%
,Chad Ryland,K,Cardinals,"$1,945,000","$972,500",$0,$0,0.0%
,Demontrey Jacobs,RT,Cardinals,"$2,035,000","$1,017,500",$0,$0,0.0%
,Andre Baccellia,WR,Cardinals,"$2,175,000","$1,087,500",$0,$0,0.0%
,Jalen Brooks,WR,Cardinals,"$2,175,000","$1,087,500",$0,$0,0.0%
,Zachary Carter,IDL,Cardinals,"$2,315,000","$1,157,500",$0,$0,0.0%
,Greg Dortch,WR,Cardinals,"$3,263,000","$3,263,000",$0,$0,0.0%
,Justin Herbert,QB,Chargers,"$262,500,000","$52,500,000","$133,738,375","$26,747,675",50.9%
,Rashawn Slater,LT,Chargers,"$114,000,000","$28,500,000","$56,000,000","$14,000,000",49.1%
,Derwin James,S,Chargers,"$76,000,000","$19,000,000","$38,584,471","$9,646,118",50.8%
,Joe Alt,RT,Chargers,"$33,160,944","$8,290,236","$33,160,944","$8,290,236",100.0%
,Khalil Mack,EDGE,Chargers,"$18,000,000","$18,000,000","$18,000,000","$18,000,000",100.0%
,Omarion Hampton,RB,Chargers,"$17,774,464","$4,443,616","$17,774,464","$4,443,616",100.0%
,Teair Tart,IDL,Chargers,"$30,000,000","$10,000,000","$15,000,000","$5,000,000",50.0%
,Zion Johnson,LG,Chargers,"$14,746,680","$3,686,670","$14,746,680","$3,686,670",100.0%
,Quentin Johnston,WR,Chargers,"$14,188,786","$3,547,197","$14,188,786","$3,547,197",100.0%
,Trevor Penning,LT,Chargers,"$14,143,316","$3,535,829","$14,143,316","$3,535,829",100.0%
,Trey Pipkins,RT,Chargers,"$21,750,000","$7,250,000","$13,250,000","$4,416,667",60.9%
,Elijah Molden,S,Chargers,"$18,750,000","$6,250,000","$11,625,000","$3,875,000",62.0%
,Odafe Oweh,EDGE,Chargers,"$11,342,390","$2,835,598","$10,985,701","$2,746,425",96.9%
,Ladd McConkey,WR,Chargers,"$9,995,186","$2,498,797","$9,185,943","$2,296,486",91.9%
,Cameron Dicker,K,Chargers,"$22,004,000","$5,501,000","$8,735,000","$2,183,750",39.7%
,Donte Jackson,CB,Chargers,"$13,000,000","$6,500,000","$7,000,000","$3,500,000",53.8%
,Mekhi Becton,RG,Chargers,"$20,000,000","$10,000,000","$6,940,000","$3,470,000",34.7%
,Tre Harris,WR,Chargers,"$7,817,692","$1,954,423","$5,578,241","$1,394,560",71.4%
,Najee Harris,RB,Chargers,"$5,250,000","$5,250,000","$5,250,000","$5,250,000",100.0%
,Tuli Tuipulotu,EDGE,Chargers,"$6,571,382","$1,642,846","$3,577,887","$894,472",54.4%
,Bradley Bozeman,C,Chargers,"$6,500,000","$3,250,000","$3,375,000","$1,687,500",51.9%
,J.K. Scott,P,Chargers,"$6,000,000","$3,000,000","$3,150,000","$1,575,000",52.5%
,Troy Dye,LB,Chargers,"$5,500,000","$2,750,000","$3,000,000","$1,500,000",54.5%
,Tyler Conklin,TE,Chargers,"$3,000,000","$3,000,000","$2,830,000","$2,830,000",94.3%
,Bud Dupree,EDGE,Chargers,"$4,005,000","$4,005,000","$2,495,000","$2,495,000",62.3%
,Keenan Allen,WR,Chargers,"$3,020,000","$3,020,000","$2,255,000","$2,255,000",74.7%
,Josh Harris,LS,Chargers,"$5,600,000","$1,400,000","$1,920,000","$480,000",34.3%
,Trey Lance,QB,Chargers,"$2,000,000","$2,000,000","$1,500,000","$1,500,000",75.0%
,Jamaree Caldwell,IDL,Chargers,"$6,313,266","$1,578,317","$1,231,464","$307,866",19.5%
,Junior Colson,LB,Chargers,"$6,027,006","$1,506,752","$1,203,276","$300,819",20.0%
,Benjamin St-Juste,CB,Chargers,"$2,500,000","$2,500,000","$1,000,000","$1,000,000",40.0%
,Will Dissly,TE,Chargers,"$14,000,000","$4,666,666","$1,000,000","$333,333",7.1%
,Daiyan Henley,LB,Chargers,"$5,420,426","$1,355,107","$942,128","$235,532",17.4%
,Kyle Kennard,EDGE,Chargers,"$5,130,564","$1,282,641","$930,564","$232,641",18.1%
,Justin Eboigbe,EDGE,Chargers,"$4,859,012","$1,214,753","$839,012","$209,753",17.3%
,Da'Shawn Hand,EDGE,Chargers,"$2,350,000","$2,350,000","$725,000","$725,000",30.9%
,Derius Davis,WR,Chargers,"$4,551,928","$1,137,982","$711,928","$177,982",15.6%
,Hassan Haskins,RB,Chargers,"$4,352,208","$1,088,052","$692,208","$173,052",15.9%
,KeAndre Lambert-Smith,WR,Chargers,"$4,608,004","$1,152,001","$408,004","$102,001",8.9%
,Del'Shawn Phillips,LB,Chargers,"$1,700,000","$1,700,000","$400,000","$400,000",23.5%
,Tarheeb Still,CB,Chargers,"$4,395,720","$1,098,930","$375,720","$93,930",8.5%
,Oronde Gadsden II,TE,Chargers,"$4,574,036","$1,143,509","$374,036","$93,509",8.2%
,Cam Hart,CB,Chargers,"$4,383,928","$1,095,982","$363,928","$90,982",8.3%
,Otito Ogbonnia,IDL,Chargers,"$3,978,888","$994,722","$318,888","$79,722",8.0%
,Denzel Perryman,LB,Chargers,"$2,655,000","$2,655,000","$300,000","$300,000",11.3%
,Jamaree Salyer,RG,Chargers,"$3,835,932","$958,983","$175,932","$43,983",4.6%
,R.J. Mickens,S,Chargers,"$4,374,280","$1,093,570","$174,280","$43,570",4.0%
,Scott Matlock,IDL,Chargers,"$4,012,292","$1,003,073","$172,292","$43,073",4.3%
,Deane Leonard,CB,Chargers,"$3,759,664","$939,916","$99,664","$24,916",2.7%
,Nikko Reed,CB,Chargers,"$2,980,000","$993,333","$40,000","$13,333",1.3%
,Eric Rogers,CB,Chargers,"$2,985,000","$995,000","$20,000","$6,667",0.7%
,Savion Washington,RT,Chargers,"$2,980,000","$993,333","$15,000","$5,000",0.5%
,Josh Fuga,IDL,Chargers,"$2,975,000","$991,667","$10,000","$3,333",0.3%
,Jordan Oladokun,CB,Chargers,"$2,975,000","$991,667","$10,000","$3,333",0.3%
,Austin Deculus,RT,Chargers,"$2,020,000","$1,010,000","$5,000","$2,500",0.2%
,Marlowe Wax,LB,Chargers,"$2,968,000","$989,333","$3,000","$1,000",0.1%
,Ben Cleveland,RG,Chargers,"$315,000","$315,000",$0,$0,0.0%
,Branson Taylor,LT,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Dalevon Campbell,WR,Chargers,"$885,000","$885,000",$0,$0,0.0%
,TeRah Edwards,IDL,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Luke Grimm,WR,Chargers,"$885,000","$885,000",$0,$0,0.0%
,JaQuae Jackson,WR,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Emany Johnson,S,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Josh Kaltenberger,C,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Garmon Randolph,EDGE,Chargers,"$885,000","$885,000",$0,$0,0.0%
,DJ Uiagalelei,QB,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Isas Waxter,CB,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Thomas Yassmin,TE,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Amar Johnson,RB,Chargers,"$885,000","$885,000",$0,$0,0.0%
,Kimani Vidal,RB,Chargers,"$960,000","$960,000",$0,$0,0.0%
,Kendall Williamson,S,Chargers,"$960,000","$960,000",$0,$0,0.0%
,Peter Bowden,LS,Chargers,"$1,005,000","$1,005,000",$0,$0,0.0%
,Tanner McLachlan,TE,Chargers,"$1,005,000","$1,005,000",$0,$0,0.0%
,Tucker Fisk,TE,Chargers,"$1,030,000","$1,030,000",$0,$0,0.0%
,Jaret Patterson,RB,Chargers,"$1,030,000","$1,030,000",$0,$0,0.0%
,Andre James,C,Chargers,"$1,170,000","$1,170,000",$0,$0,0.0%
,Ben Cleveland,RG,Chargers,"$1,215,000","$1,215,000",$0,$0,0.0%
,Bobby Hart,RT,Chargers,"$1,255,000","$1,255,000",$0,$0,0.0%
,Tony Jefferson,S,Chargers,"$1,255,000","$1,255,000",$0,$0,0.0%
,Patrick Mahomes,QB,Chiefs,"$450,000,000","$45,000,000","$63,081,905","$6,308,191",14.0%
,Chris Jones,IDL,Chiefs,"$158,750,000","$31,750,000","$60,000,000","$12,000,000",37.8%
,Trey Smith,RG,Chiefs,"$94,000,000","$23,500,000","$46,750,000","$11,687,500",49.7%
,Jawaan Taylor,RT,Chiefs,"$80,000,000","$20,000,000","$40,000,000","$10,000,000",50.0%
,Creed Humphrey,C,Chiefs,"$72,000,000","$18,000,000","$35,000,000","$8,750,000",48.6%
,George Karlaftis,EDGE,Chiefs,"$88,000,000","$22,000,000","$32,000,000","$8,000,000",36.4%
,Nick Bolton,LB,Chiefs,"$45,000,000","$15,000,000","$30,000,000","$10,000,000",66.7%
,Jaylon Moore,LT,Chiefs,"$30,000,000","$15,000,000","$21,240,000","$10,620,000",70.8%
,Travis Kelce,TE,Chiefs,"$34,250,000","$17,125,000","$17,000,000","$8,500,000",49.6%
,Kristian Fulton,CB,Chiefs,"$20,000,000","$10,000,000","$15,000,000","$7,500,000",75.0%
,Harrison Butker,K,Chiefs,"$25,600,000","$6,400,000","$15,000,000","$3,750,000",58.6%
,Josh Simmons,LT,Chiefs,"$14,675,356","$3,668,839","$14,675,356","$3,668,839",100.0%
,Trent McDuffie,CB,Chiefs,"$13,992,484","$3,498,121","$13,992,484","$3,498,121",100.0%
,Xavier Worthy,WR,Chiefs,"$13,790,264","$3,447,566","$13,790,264","$3,447,566",100.0%
,Mike Danna,EDGE,Chiefs,"$24,000,000","$8,000,000","$13,000,000","$4,333,333",54.2%
,Drue Tranquill,LB,Chiefs,"$19,000,000","$6,333,333","$12,500,000","$4,166,667",65.8%
,Felix Anudike-Uzomah,EDGE,Chiefs,"$11,817,820","$2,954,455","$11,817,820","$2,954,455",100.0%
,Noah Gray,TE,Chiefs,"$18,000,000","$6,000,000","$10,016,000","$3,338,667",55.6%
,Marquise Brown,WR,Chiefs,"$7,000,000","$7,000,000","$6,500,000","$6,500,000",92.9%
,Omarr Norman-Lott,IDL,Chiefs,"$7,200,376","$1,800,094","$4,317,355","$1,079,339",60.0%
,Rashee Rice,WR,Chiefs,"$6,495,218","$1,623,805","$3,519,033","$879,758",54.2%
,Charles Omenihu,EDGE,Chiefs,"$4,000,000","$4,000,000","$3,450,000","$3,450,000",86.3%
,Kingsley Suamataia,LG,Chiefs,"$6,421,506","$1,605,377","$3,372,071","$843,018",52.5%
,Bryan Cook,S,Chiefs,"$5,847,142","$1,461,786","$3,108,247","$777,062",53.2%
,Jerry Tillery,IDL,Chiefs,"$1,790,000","$1,790,000","$1,790,000","$1,790,000",100.0%
,James Winchester,LS,Chiefs,"$1,650,000","$1,650,000","$1,650,000","$1,650,000",100.0%
,Ashton Gillotte,EDGE,Chiefs,"$6,744,624","$1,686,156","$1,545,180","$386,295",22.9%
,Nohl Williams,CB,Chiefs,"$6,335,512","$1,583,878","$1,247,644","$311,911",19.7%
,Nazeeh Johnson,S,Chiefs,"$1,900,000","$1,900,000","$1,200,000","$1,200,000",63.2%
,Jack Cochrane,LB,Chiefs,"$2,100,000","$2,100,000","$1,200,000","$1,200,000",57.1%
,JuJu Smith-Schuster,WR,Chiefs,"$1,422,500","$1,422,500","$1,197,500","$1,197,500",84.2%
,Wanya Morris,LT,Chiefs,"$5,368,352","$1,342,088","$904,256","$226,064",16.8%
,Jalen Royals,WR,Chiefs,"$5,067,200","$1,266,800","$867,200","$216,800",17.1%
,Kareem Hunt,RB,Chiefs,"$1,500,000","$1,500,000","$850,000","$850,000",56.7%
,Leo Chenal,LB,Chiefs,"$5,044,904","$1,261,226","$849,020","$212,255",16.8%
,Chamarri Conner,S,Chiefs,"$4,591,364","$1,147,841","$751,364","$187,841",16.4%
,Jared Wiley,TE,Chiefs,"$4,708,620","$1,177,155","$688,620","$172,155",14.6%
,Joshua Williams,CB,Chiefs,"$4,326,260","$1,081,565","$666,260","$166,565",15.4%
,Jaden Hicks,S,Chiefs,"$4,548,708","$1,137,177","$528,708","$132,177",11.6%
,Derrick Nnadi,IDL,Chiefs,"$1,422,500","$1,422,500","$417,500","$417,500",29.3%
,Jeffrey Bassa,LB,Chiefs,"$4,613,652","$1,153,413","$413,652","$103,413",9.0%
,Hunter Nourzad,C,Chiefs,"$4,339,516","$1,084,879","$319,516","$79,879",7.4%
,Ethan Driskell,RT,Chiefs,"$2,870,000","$956,667","$265,000","$88,333",9.2%
,Jake Briningstool,TE,Chiefs,"$2,995,000","$998,333","$264,000","$88,000",8.8%
,Brandon George,LB,Chiefs,"$2,980,000","$993,333","$249,000","$83,000",8.4%
,Christian Roland-Wallace,CB,Chiefs,"$2,835,000","$945,000","$155,000","$51,667",5.5%
,Brashard Smith,RB,Chiefs,"$4,333,476","$1,083,369","$133,476","$33,369",3.1%
,Jaylen Watson,CB,Chiefs,"$3,745,368","$936,342","$85,368","$21,342",2.3%
,Isiah Pacheco,RB,Chiefs,"$3,739,108","$934,777","$79,108","$19,777",2.1%
,Andrew Armstrong,WR,Chiefs,"$885,000","$885,000",$0,$0,0.0%
,ShunDerrick Powell,RB,Chiefs,"$885,000","$885,000",$0,$0,0.0%
,Jimmy Holiday,WR,Chiefs,"$885,000","$885,000",$0,$0,0.0%
,Marcus Harris,IDL,Chiefs,"$885,000","$885,000",$0,$0,0.0%
,Kam Arnold,LB,Chiefs,"$885,000","$885,000",$0,$0,0.0%
,Tre Watson,TE,Chiefs,"$885,000","$885,000",$0,$0,0.0%
,Matt Araiza,P,Chiefs,"$960,000","$960,000",$0,$0,0.0%
,Eric Scott,CB,Chiefs,"$960,000","$960,000",$0,$0,0.0%
,Keaontay Ingram,RB,Chiefs,"$1,030,000","$1,030,000",$0,$0,0.0%
,Mike Caliendo,LG,Chiefs,"$1,030,000","$1,030,000",$0,$0,0.0%
,Jason Brownlee,WR,Chiefs,"$1,075,000","$1,075,000",$0,$0,0.0%
,Tanner McCalister,S,Chiefs,"$1,075,000","$1,075,000",$0,$0,0.0%
,Jake Haener,QB,Chiefs,"$1,075,000","$1,075,000",$0,$0,0.0%
,Matt Waletzko,RT,Chiefs,"$1,075,000","$1,075,000",$0,$0,0.0%
,Dameon Pierce,RB,Chiefs,"$1,100,000","$1,100,000",$0,$0,0.0%
,Cole Christiansen,LB,Chiefs,"$1,100,000","$1,100,000",$0,$0,0.0%
,Tyquan Thornton,WR,Chiefs,"$1,100,000","$1,100,000",$0,$0,0.0%
,Janarius Robinson,EDGE,Chiefs,"$1,100,000","$1,100,000",$0,$0,0.0%
,Mike Edwards,S,Chiefs,"$1,170,000","$1,170,000",$0,$0,0.0%
,Gardner Minshew,QB,Chiefs,"$1,170,000","$1,170,000",$0,$0,0.0%
,Mike Pennel,IDL,Chiefs,"$1,255,000","$1,255,000",$0,$0,0.0%
,Robert Tonyan,TE,Chiefs,"$1,255,000","$1,255,000",$0,$0,0.0%
,Deon Bush,S,Chiefs,"$1,255,000","$1,255,000",$0,$0,0.0%
,Nikko Remigio,WR,Chiefs,"$1,755,000","$877,500",$0,$0,0.0%
,Kevin Knowles II,CB,Chiefs,"$1,845,000","$922,500",$0,$0,0.0%
,Chukwuebuka Godrick,RT,Chiefs,"$1,845,000","$922,500",$0,$0,0.0%
,Chris Oladokun,QB,Chiefs,"$1,845,000","$922,500",$0,$0,0.0%
,Ethan Downs,EDGE,Chiefs,"$1,845,000","$922,500",$0,$0,0.0%
,Melvin Smith,CB,Chiefs,"$1,845,000","$922,500",$0,$0,0.0%
,Esa Pole,LT,Chiefs,"$1,845,000","$922,500",$0,$0,0.0%
,Tyreke Smith,EDGE,Chiefs,"$2,035,000","$1,017,500",$0,$0,0.0%
,C.J. Hanson,RG,Chiefs,"$2,035,000","$1,017,500",$0,$0,0.0%
,Zacch Pickens,IDL,Chiefs,"$2,175,000","$1,087,500",$0,$0,0.0%
,Cooper McDonald,LB,Chiefs,"$2,965,000","$988,333",$0,$0,0.0%
,Bernhard Raimann,LT,Colts,"$100,000,000","$25,000,000","$45,000,000","$11,250,000",45.0%
,DeForest Buckner,IDL,Colts,"$46,000,000","$23,000,000","$43,250,000","$21,625,000",94.0%
,"Michael Pittman, Jr.",WR,Colts,"$70,000,000","$23,333,333","$41,000,000","$13,666,667",58.6%
,Quenton Nelson,LG,Colts,"$80,000,000","$20,000,000","$41,000,000","$10,250,000",51.3%
,Ahmad Gardner,CB,Colts,"$120,400,000","$30,100,000","$40,500,000","$10,125,000",33.6%
,Anthony Richardson,QB,Colts,"$33,994,030","$8,498,508","$33,994,030","$8,498,508",100.0%
,Charvarius Ward,CB,Colts,"$54,000,000","$18,000,000","$27,000,000","$9,000,000",50.0%
,Cam Bynum,S,Colts,"$60,000,000","$15,000,000","$26,000,000","$6,500,000",43.3%
,Tyler Warren,TE,Colts,"$20,960,650","$5,240,163","$20,960,650","$5,240,163",100.0%
,Jonathan Taylor,RB,Colts,"$42,000,000","$14,000,000","$19,347,556","$6,449,185",46.1%
,Grover Stewart,IDL,Colts,"$39,000,000","$13,000,000","$17,990,000","$5,996,667",46.1%
,Zaire Franklin,LB,Colts,"$31,260,000","$10,420,000","$17,620,000","$5,873,333",56.4%
,Laiatu Latu,EDGE,Colts,"$17,031,894","$4,257,974","$17,031,894","$4,257,974",100.0%
,Kenny Moore,CB,Colts,"$30,000,000","$10,000,000","$16,000,000","$5,333,333",53.3%
,Kwity Paye,EDGE,Colts,"$13,644,836","$3,411,209","$13,644,836","$3,411,209",100.0%
,Daniel Jones,QB,Colts,"$14,000,000","$14,000,000","$13,150,000","$13,150,000",93.9%
,Samson Ebukam,EDGE,Colts,"$24,000,000","$8,000,000","$10,755,000","$3,585,000",44.8%
,J.T. Tuimoloau,EDGE,Colts,"$9,942,464","$2,485,616","$8,405,411","$2,101,353",84.5%
,Tyquan Lewis,EDGE,Colts,"$12,000,000","$6,000,000","$6,700,000","$3,350,000",55.8%
,Alec Pierce,WR,Colts,"$6,601,342","$1,650,336","$3,691,037","$922,759",55.9%
,Ashton Dulin,WR,Colts,"$6,500,000","$3,250,000","$2,940,000","$1,470,000",45.2%
,Luke Rhodes,LS,Colts,"$6,465,000","$1,616,250","$2,500,000","$625,000",38.7%
,Rigoberto Sanchez,P,Colts,"$7,500,000","$2,500,000","$2,500,000","$833,333",33.3%
,Justin Walley,CB,Colts,"$6,444,016","$1,611,004","$1,326,556","$331,639",20.6%
,Mo Alie-Cox,TE,Colts,"$2,200,000","$2,200,000","$1,167,500","$1,167,500",53.1%
,Matt Goncalves,LT,Colts,"$5,839,038","$1,459,760","$1,066,572","$266,643",18.3%
,Josh Downs,WR,Colts,"$5,520,456","$1,380,114","$1,014,876","$253,719",18.4%
,Jalen Travis,LT,Colts,"$5,121,268","$1,280,317","$921,268","$230,317",18.0%
,Nick Cross,S,Colts,"$5,065,636","$1,266,409","$864,100","$216,025",17.1%
,Mekhi Blackmon,CB,Colts,"$5,304,082","$1,326,021","$857,512","$214,378",16.2%
,Blake Freeland,LT,Colts,"$4,655,888","$1,163,972","$815,888","$203,972",17.5%
,Adetomiwa Adebawore,EDGE,Colts,"$4,636,912","$1,159,228","$796,912","$199,228",17.2%
,Tanor Bortolini,C,Colts,"$4,799,872","$1,199,968","$779,872","$194,968",16.2%
,Danny Pinter,RG,Colts,"$1,667,500","$1,667,500","$750,000","$750,000",45.0%
,Spencer Shrader,K,Colts,"$2,510,000","$1,255,000","$750,000","$375,000",29.9%
,DJ Giddens,RB,Colts,"$4,624,744","$1,156,186","$424,744","$106,186",9.2%
,Neville Gallimore,IDL,Colts,"$1,337,500","$1,337,500","$400,000","$400,000",29.9%
,Anthony Gould,WR,Colts,"$4,372,664","$1,093,166","$352,664","$88,166",8.1%
,Jaylon Carlies,S,Colts,"$4,361,240","$1,090,310","$336,240","$84,060",7.7%
,Eric Johnson,IDL,Colts,"$3,980,740","$995,185","$320,740","$80,185",8.1%
,Daniel Scott,S,Colts,"$4,147,836","$1,036,959","$307,836","$76,959",7.4%
,Will Mallory,TE,Colts,"$4,130,592","$1,032,648","$290,592","$72,648",7.0%
,Johnathan Edwards,CB,Colts,"$2,995,000","$998,333","$280,000","$93,333",9.3%
,Dalton Tucker,RG,Colts,"$2,870,000","$956,667","$240,000","$80,000",8.4%
,Riley Leonard,QB,Colts,"$4,435,244","$1,108,811","$235,244","$58,811",5.3%
,Devin Veresuk,LB,Colts,"$3,110,000","$1,036,667","$185,000","$61,667",5.9%
,Andrew Ogletree,TE,Colts,"$3,838,192","$959,548","$178,192","$44,548",4.6%
,Hunter Wohler,S,Colts,"$4,331,068","$1,082,767","$131,068","$32,767",3.0%
,Jaylon Jones,CB,Colts,"$3,953,480","$988,370","$113,480","$28,370",2.9%
,John Bullock,LB,Colts,"$2,982,500","$994,167","$17,500","$5,833",0.6%
,Ulysses Bentley IV,RB,Colts,"$885,000","$885,000",$0,$0,0.0%
,Joseph Vaughn,LB,Colts,"$885,000","$885,000",$0,$0,0.0%
,Ben Nikkel,S,Colts,"$885,000","$885,000",$0,$0,0.0%
,Eli Pancol,WR,Colts,"$885,000","$885,000",$0,$0,0.0%
,Tim Smith,IDL,Colts,"$885,000","$885,000",$0,$0,0.0%
,Seth Henigan,QB,Colts,"$885,000","$885,000",$0,$0,0.0%
,Coleman Owen,WR,Colts,"$885,000","$885,000",$0,$0,0.0%
,LaDarius Henderson,LG,Colts,"$885,000","$885,000",$0,$0,0.0%
,Bayron Matos,LT,Colts,"$885,000","$885,000",$0,$0,0.0%
,Luke Tenuta,LT,Colts,"$960,000","$960,000",$0,$0,0.0%
,Durell Nchami,EDGE,Colts,"$1,005,000","$1,005,000",$0,$0,0.0%
,Trey Washington,S,Colts,"$1,005,000","$1,005,000",$0,$0,0.0%
,Austin Ajiake,LB,Colts,"$1,005,000","$1,005,000",$0,$0,0.0%
,Viliami Fehoko,EDGE,Colts,"$1,005,000","$1,005,000",$0,$0,0.0%
,Buddy Johnson,LB,Colts,"$1,030,000","$1,030,000",$0,$0,0.0%
,Blake Grupe,K,Colts,"$1,030,000","$1,030,000",$0,$0,0.0%
,Tyler Goodson,RB,Colts,"$1,030,000","$1,030,000",$0,$0,0.0%
,Segun Olubi,LB,Colts,"$1,030,000","$1,030,000",$0,$0,0.0%
,D.J. Montgomery,WR,Colts,"$1,030,000","$1,030,000",$0,$0,0.0%
,Cameron Mitchell,CB,Colts,"$1,030,000","$1,030,000",$0,$0,0.0%
,Bill Murray,IDL,Colts,"$1,075,000","$1,075,000",$0,$0,0.0%
,Jimmy Morrissey,C,Colts,"$1,075,000","$1,075,000",$0,$0,0.0%
,Jacob Phillips,LB,Colts,"$1,100,000","$1,100,000",$0,$0,0.0%
,Rodney Thomas,CB,Colts,"$1,100,000","$1,100,000",$0,$0,0.0%
,Josh Sills,LG,Colts,"$1,145,000","$1,145,000",$0,$0,0.0%
,Salvon Ahmed,RB,Colts,"$1,170,000","$1,170,000",$0,$0,0.0%
,Chris Lammons,CB,Colts,"$1,170,000","$1,170,000",$0,$0,0.0%
,Sean McKeon,TE,Colts,"$1,215,000","$1,215,000",$0,$0,0.0%
,Laquon Treadwell,WR,Colts,"$1,255,000","$1,255,000",$0,$0,0.0%
,Philip Rivers,QB,Colts,"$1,255,000","$1,255,000",$0,$0,0.0%
,Ameer Abdullah,RB,Colts,"$1,255,000","$1,255,000",$0,$0,0.0%
,Chris Wormley,IDL,Colts,"$1,255,000","$1,255,000",$0,$0,0.0%
,George Odum,S,Colts,"$1,255,000","$1,255,000",$0,$0,0.0%
,Germaine Pratt,LB,Colts,"$1,846,154","$1,846,154",$0,$0,0.0%
,Reuben Lowery,CB,Colts,"$2,965,000","$988,333",$0,$0,0.0%
,Jack Wilson,RT,Colts,"$2,965,000","$988,333",$0,$0,0.0%
,Wyett Ekeler,S,Colts,"$3,100,000","$1,033,333",$0,$0,0.0%
,Rob Carter,CB,Colts,"$3,100,000","$1,033,333",$0,$0,0.0%
,Braden Smith,RT,Colts,"$8,000,000","$8,000,000",$0,$0,0.0%
,Laremy Tunsil,LT,Commanders,"$75,000,000","$25,000,000","$50,000,000","$16,666,667",66.7%
,Daron Payne,IDL,Commanders,"$90,000,000","$22,500,000","$46,010,000","$11,502,500",51.1%
,Terry McLaurin,WR,Commanders,"$87,000,000","$29,000,000","$44,650,000","$14,883,333",51.3%
,Marshon Lattimore,CB,Commanders,"$97,000,000","$19,400,000","$44,346,588","$8,869,318",45.7%
,Jayden Daniels,QB,Commanders,"$37,746,650","$9,436,663","$37,746,650","$9,436,663",100.0%
,Javon Kinlaw,IDL,Commanders,"$45,000,000","$15,000,000","$30,000,000","$10,000,000",66.7%
,Samuel Cosmi,RG,Commanders,"$74,000,000","$18,500,000","$26,616,000","$6,654,000",36.0%
,Tyler Biadasz,C,Commanders,"$30,000,000","$10,000,000","$17,700,000","$5,900,000",59.0%
,Dorance Armstrong Jr.,EDGE,Commanders,"$33,000,000","$11,000,000","$16,125,000","$5,375,000",48.9%
,Josh Conerly Jr.,LT,Commanders,"$15,681,094","$3,920,274","$15,681,094","$3,920,274",100.0%
,Frankie Luvu,EDGE,Commanders,"$31,000,000","$10,333,333","$14,625,000","$4,875,000",47.2%
,John Bates,TE,Commanders,"$21,000,000","$7,000,000","$11,520,000","$3,840,000",54.9%
,Nick Allegretti,LG,Commanders,"$16,000,000","$5,333,333","$9,020,000","$3,006,667",56.4%
,Jer'Zhan Newton,IDL,Commanders,"$9,757,990","$2,439,498","$8,432,355","$2,108,089",86.4%
,Bobby Wagner,LB,Commanders,"$9,000,000","$9,000,000","$8,000,000","$8,000,000",88.9%
,Marcus Mariota,QB,Commanders,"$8,000,000","$8,000,000","$7,390,000","$7,390,000",92.4%
,Zach Ertz,TE,Commanders,"$6,250,000","$6,250,000","$5,590,000","$5,590,000",89.4%
,Mike Sainristil,CB,Commanders,"$7,702,336","$1,925,584","$5,258,934","$1,314,734",68.3%
,Quan Martin,S,Commanders,"$7,637,824","$1,909,456","$5,111,995","$1,277,999",66.9%
,Von Miller,EDGE,Commanders,"$6,100,000","$6,100,000","$4,995,000","$4,995,000",81.9%
,Ben Sinnott,TE,Commanders,"$7,227,950","$1,806,988","$4,597,851","$1,149,463",63.6%
,Trey Amos,CB,Commanders,"$7,280,020","$1,820,005","$4,568,725","$1,142,181",62.8%
