,Player,Pos.,Team ▾,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
,Jalen Graham,LB,49ers,"$1,145,000","$1,145,000",$0,$0,0.0%
,Zachary Thomas,RG,49ers,"$1,145,000","$1,145,000",$0,$0,0.0%
,Clelin Ferrell,EDGE,49ers,"$1,170,000","$1,170,000",$0,$0,0.0%
,Trent Taylor,WR,49ers,"$1,170,000","$1,170,000",$0,$0,0.0%
,Eddy Pineiro,K,49ers,"$1,170,000","$1,170,000",$0,$0,0.0%
,Curtis Robinson,LB,49ers,"$1,170,000","$1,170,000",$0,$0,0.0%
,Malik Turner,WR,49ers,"$1,215,000","$1,215,000",$0,$0,0.0%
,Brandon Parker,RT,49ers,"$1,215,000","$1,215,000",$0,$0,0.0%
,Darrick Forrest,S,49ers,"$1,215,000","$1,215,000",$0,$0,0.0%
,Nick Zakelj,LG,49ers,"$1,215,000","$1,215,000",$0,$0,0.0%
,Eric Kendricks,LB,49ers,"$1,255,000","$1,255,000",$0,$0,0.0%
,Eli Apple,CB,49ers,"$1,300,000","$1,300,000",$0,$0,0.0%
,Brayden Willis,TE,49ers,"$2,175,000","$1,087,500",$0,$0,0.0%
,Jaylon Johnson,CB,Bears,"$76,000,000","$19,000,000","$43,800,000","$10,950,000",57.6%
,D.J. Moore,WR,Bears,"$110,000,000","$27,500,000","$43,650,000","$10,912,500",39.7%
,Montez Sweat,EDGE,Bears,"$98,000,000","$24,500,000","$41,965,000","$10,491,250",42.8%
,Tremaine Edmunds,LB,Bears,"$72,000,000","$18,000,000","$41,800,000","$10,450,000",58.1%
,Caleb Williams,QB,Bears,"$39,486,058","$9,871,515","$39,486,058","$9,871,515",100.0%
,Joe Thuney,LG,Bears,"$35,000,000","$17,500,000","$33,500,000","$16,750,000",95.7%
,Dayo Odeyingbo,EDGE,Bears,"$48,000,000","$16,000,000","$29,500,000","$9,833,333",61.5%
,Grady Jarrett,IDL,Bears,"$43,500,000","$14,500,000","$27,250,000","$9,083,333",62.6%
,Colston Loveland,TE,Bears,"$26,636,008","$6,659,002","$26,636,008","$6,659,002",100.0%
,Drew Dalman,C,Bears,"$42,000,000","$14,000,000","$26,500,000","$8,833,333",63.1%
,Jonah Jackson,RG,Bears,"$44,500,000","$14,833,333","$24,500,000","$8,166,667",55.1%
,Cole Kmet,TE,Bears,"$50,000,000","$12,500,000","$22,893,000","$5,723,250",45.8%
,Rome Odunze,WR,Bears,"$22,724,500","$5,681,125","$22,724,500","$5,681,125",100.0%
,Kyler Gordon,CB,Bears,"$40,000,000","$13,333,333","$21,256,000","$7,085,333",53.1%
,Darnell Wright,RT,Bears,"$20,968,270","$5,242,068","$20,968,270","$5,242,068",100.0%
,T.J. Edwards,LB,Bears,"$20,000,000","$10,000,000","$16,650,000","$8,325,000",83.3%
,D'Andre Swift,RB,Bears,"$24,000,000","$8,000,000","$14,000,000","$4,666,667",58.3%
,Luther Burden,WR,Bears,"$10,964,034","$2,741,009","$10,964,034","$2,741,009",100.0%
,Ryan Bates,RG,Bears,"$17,000,000","$4,250,000","$8,850,000","$2,212,500",52.1%
,Kevin Byard,S,Bears,"$15,000,000","$7,500,000","$7,390,000","$3,695,000",49.3%
,Ozzy Trapilo,RT,Bears,"$7,718,142","$1,929,536","$5,394,005","$1,348,501",69.9%
,Andrew Billings,IDL,Bears,"$8,000,000","$4,000,000","$5,060,000","$2,530,000",63.3%
,Shemar Turner,IDL,Bears,"$7,220,286","$1,805,072","$4,423,048","$1,105,762",61.3%
,Jaquan Brisker,S,Bears,"$7,355,542","$1,838,886","$4,273,827","$1,068,457",58.1%
,Joe Tryon-Shoyinka,EDGE,Bears,"$4,750,000","$4,750,000","$4,190,000","$4,190,000",88.2%
,Gervon Dexter,IDL,Bears,"$6,723,732","$1,680,933","$3,695,612","$923,903",55.0%
,Tyrique Stevenson,CB,Bears,"$6,449,502","$1,612,376","$3,483,707","$870,927",54.0%
,Cairo Santos,K,Bears,"$15,600,000","$3,900,000","$3,383,333","$845,833",21.7%
,Tyson Bagent,QB,Bears,"$10,000,000","$5,000,000","$2,530,000","$1,265,000",25.3%
,Josh Blackwell,CB,Bears,"$5,000,000","$2,500,000","$2,450,000","$1,225,000",49.0%
,Case Keenum,QB,Bears,"$2,250,000","$2,250,000","$2,155,000","$2,155,000",95.8%
,Durham Smythe,TE,Bears,"$2,500,000","$2,500,000","$1,500,000","$1,500,000",60.0%
,Kiran Amegadjie,LT,Bears,"$5,914,322","$1,478,581","$1,121,324","$280,331",19.0%
,Travis Homer,RB,Bears,"$1,750,000","$1,750,000","$1,000,000","$1,000,000",57.1%
,Jonathan Owens,S,Bears,"$3,800,000","$1,900,000","$1,000,000","$500,000",26.3%
,Ruben Hyppolite II,LB,Bears,"$5,079,588","$1,269,897","$879,588","$219,897",17.3%
,Roschon Johnson,RB,Bears,"$4,608,688","$1,152,172","$768,688","$192,172",16.7%
,Olamide Zaccheaus,WR,Bears,"$1,500,000","$1,500,000","$750,000","$750,000",50.0%
,Tory Taylor,P,Bears,"$4,767,900","$1,191,975","$747,900","$186,975",15.7%
,Austin Booker,EDGE,Bears,"$4,369,140","$1,092,285","$349,136","$87,284",8.0%
,Noah Sewell,LB,Bears,"$4,164,948","$1,041,237","$324,948","$81,237",7.8%
,Zah Frazier,CB,Bears,"$4,520,216","$1,130,054","$320,216","$80,054",7.1%
,D'Marco Jackson,LB,Bears,"$3,976,916","$994,229","$316,916","$79,229",8.0%
,Braxton Jones,LT,Bears,"$3,959,548","$989,887","$299,548","$74,887",7.6%
,Terell Smith,CB,Bears,"$4,115,884","$1,028,971","$275,884","$68,971",6.7%
,Dominique Robinson,EDGE,Bears,"$3,933,152","$983,288","$273,152","$68,288",6.9%
,Luke Newman,LG,Bears,"$4,430,060","$1,107,515","$230,060","$57,515",5.2%
,Jahdae Walker,WR,Bears,"$2,985,000","$995,000","$170,000","$56,667",5.7%
,Kyle Monangai,RB,Bears,"$4,328,140","$1,082,035","$128,140","$32,035",3.0%
,Elijah Hicks,S,Bears,"$3,737,012","$934,253","$77,012","$19,253",2.1%
,Jaylon Jones,CB,Bears,"$1,200,000","$1,200,000","$50,000","$50,000",4.2%
,Nick McCloud,CB,Bears,"$1,320,000","$1,320,000","$50,000","$50,000",3.8%
,Nephi Sewell,LB,Bears,"$234,000","$234,000",$0,$0,0.0%
,Luke Elkin,LS,Bears,"$885,000","$885,000",$0,$0,0.0%
,Qadir Ismail,WR,Bears,"$885,000","$885,000",$0,$0,0.0%
,Dontae Manning,CB,Bears,"$885,000","$885,000",$0,$0,0.0%
,Jeremiah Martin,EDGE,Bears,"$885,000","$885,000",$0,$0,0.0%
,J.P. Richardson,WR,Bears,"$885,000","$885,000",$0,$0,0.0%
,Dominique Hampton,S,Bears,"$1,005,000","$1,005,000",$0,$0,0.0%
,Kyle Hergel,LG,Bears,"$1,005,000","$1,005,000",$0,$0,0.0%
,Gervarrius Owens,S,Bears,"$1,005,000","$1,005,000",$0,$0,0.0%
,Jamree Kromah,EDGE,Bears,"$1,005,000","$1,005,000",$0,$0,0.0%
,Theo Benedet,RT,Bears,"$1,005,000","$1,005,000",$0,$0,0.0%
,Jordan McFadden,LG,Bears,"$1,030,000","$1,030,000",$0,$0,0.0%
,Daniel Hardy,EDGE,Bears,"$1,030,000","$1,030,000",$0,$0,0.0%
,Brittain Brown,RB,Bears,"$1,075,000","$1,075,000",$0,$0,0.0%
,Maurice Alexander,WR,Bears,"$1,075,000","$1,075,000",$0,$0,0.0%
,Nikola Kalinic,TE,Bears,"$1,075,000","$1,075,000",$0,$0,0.0%
,Nahshon Wright,CB,Bears,"$1,100,000","$1,100,000",$0,$0,0.0%
,Jonathan Garvin,EDGE,Bears,"$1,145,000","$1,145,000",$0,$0,0.0%
,Stephen Carlson,TE,Bears,"$1,145,000","$1,145,000",$0,$0,0.0%
,Scott Daly,LS,Bears,"$1,170,000","$1,170,000",$0,$0,0.0%
,"Chauncey Gardner-Johnson, Jr.",S,Bears,"$1,170,000","$1,170,000",$0,$0,0.0%
,Devin Duvernay,WR,Bears,"$1,170,000","$1,170,000",$0,$0,0.0%
,Nephi Sewell,LB,Bears,"$1,215,000","$1,215,000",$0,$0,0.0%
,Dallis Flowers,CB,Bears,"$1,215,000","$1,215,000",$0,$0,0.0%
,Jalen Reeves-Maybin,LB,Bears,"$1,255,000","$1,255,000",$0,$0,0.0%
,Deion Hankins,RB,Bears,"$2,965,000","$988,333",$0,$0,0.0%
,Chris Williams,IDL,Bears,"$3,263,000","$3,263,000",$0,$0,0.0%
,Joe Burrow,QB,Bengals,"$275,000,000","$55,000,000","$146,510,000","$29,302,000",53.3%
,Ja'Marr Chase,WR,Bengals,"$161,000,000","$40,250,000","$73,900,000","$18,475,000",45.9%
,Orlando Brown Jr.,LT,Bengals,"$64,092,000","$16,023,000","$31,100,000","$7,775,000",48.5%
,Tee Higgins,WR,Bengals,"$115,000,000","$28,750,000","$30,000,000","$7,500,000",26.1%
,Shemar Stewart,EDGE,Bengals,"$18,969,276","$4,742,319","$18,969,276","$4,742,319",100.0%
,Amarius Mims,RT,Bengals,"$15,371,558","$3,842,890","$15,371,558","$3,842,890",100.0%
,Myles Murphy,EDGE,Bengals,"$12,587,256","$3,146,814","$12,587,256","$3,146,814",100.0%
,Daxton Hill,CB,Bengals,"$11,667,018","$2,916,755","$11,667,018","$2,916,755",100.0%
,B.J. Hill,IDL,Bengals,"$33,000,000","$11,000,000","$11,000,000","$3,666,667",33.3%
,Demetrius Knight,LB,Bengals,"$9,012,498","$2,253,125","$7,114,211","$1,778,553",78.9%
,Mike Gesicki,TE,Bengals,"$25,500,000","$8,500,000","$6,500,000","$2,166,667",25.5%
,Kris Jenkins Jr.,IDL,Bengals,"$7,860,464","$1,965,116","$5,480,322","$1,370,081",69.7%
,Tedarrell Slaton,IDL,Bengals,"$14,100,000","$7,050,000","$5,000,000","$2,500,000",35.5%
